name,role,company,domain,category,notes,priority
Alfonso Gómez-Jordana Mañas,Founder & CEO,Crossmint,crossmint.com,agent-payments,Wallets + virtual cards + stablecoin onramps + verifiable credentials for agents ($23.6M),1
Rodri Fernández Touza,Co-Founder,Crossmint,crossmint.com,agent-payments,,2
Ken Zhang,Head of Stablecoins and Fintech,Crossmint,crossmint.com,agent-payments,,3
Victor Cardenas Codriansky,CEO & Co-Founder,Slash,slash.com,agent-payments,Developer-first agent banking; Series C $100M @ $1.4B valuation,1
Kevin Bai,CTO & Co-Founder,Slash,slash.com,agent-payments,,2
Shaan Patel,Head of Growth,Slash,slash.com,agent-payments,,3
Eric Kinney,Head of Risk,Slash,slash.com,agent-payments,,4
Christos Kalantzis,Chief Technology Officer,HUMAN Security (AgenticTrust),humansecurity.com,agent-payments,AgenticTrust = bot/agent verification layer of HUMAN Security,1
Stu Solomon,Chief Executive Officer,HUMAN Security (AgenticTrust),humansecurity.com,agent-payments,,2
Tamer Hassan,Executive Chairman & Co-Founder,HUMAN Security (AgenticTrust),humansecurity.com,agent-payments,,3
Arjun Bhargava,CEO & Co-Founder,Rye,rye.com,agent-payments,Real-time product data + checkout API for cross-merchant agents,1
Elisabeth Edokwe,Head of Marketing,Rye,rye.com,agent-payments,,2
Luis Gonzalez-Silen,VP of Engineering,Rye,rye.com,agent-payments,,3
Michael Ramsbacker,Chief Product Officer,Trulioo,trulioo.com,agent-payments,Identity for agent KYC; very large unicorn ($1.75B); per user rule non-CEO,1
Rob Hartley,SVP of Product,Trulioo,trulioo.com,agent-payments,,2
Eric Morse,Chief Revenue Officer,Trulioo,trulioo.com,agent-payments,,3
Vicky Bindra,CEO,Trulioo,trulioo.com,agent-payments,,4
Zac Cohen,COO,Trulioo,trulioo.com,agent-payments,,5
Magnus Müller,Co-founder & CEO,Browser Use,browser-use.com,agent-infra,Open-source Python framework for AI browser agents; YC W25; $17M seed,1
Gregor Žunič,Co-founder & CTO,Browser Use,browser-use.com,agent-infra,,2
Shiri Mosenzon Erez,Chief Product Officer,commercetools,commercetools.com,brand-side,Composable commerce platform; UCP/ACP-compatible; ~500 employees; Insight Partners-backed,1
Paul Applegate,VP Partners & Alliances,commercetools,commercetools.com,brand-side,,2
John Lentine,Chief Revenue Officer,commercetools,commercetools.com,brand-side,,3
Eric Speciel,Chief Customer Officer,commercetools,commercetools.com,brand-side,,4
